time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-06-23T00:00:00.0000000Z;2021-06-24T00:00:00.0000000Z;2021-06-23T00:01:00.0000000Z;2021-06-23T23:59:00.0000000Z;6.3243459697337405E-06;7.099701119456243E-06;6.10281915570559E-06;6.831016033147661E-06
2021-06-24T00:00:00.0000000Z;2021-06-25T00:00:00.0000000Z;2021-06-24T00:01:00.0000000Z;2021-06-24T23:59:00.0000000Z;6.832305753906822E-06;7.355894416070784E-06;6.569411255798763E-06;7.199615960794388E-06
2021-06-25T00:00:00.0000000Z;2021-06-26T00:00:00.0000000Z;2021-06-25T00:01:00.0000000Z;2021-06-25T23:59:00.0000000Z;7.226679730306075E-06;8.359630719017501E-06;6.724104355287618E-06;7.071640065103758E-06
2021-06-26T00:00:00.0000000Z;2021-06-27T00:00:00.0000000Z;2021-06-26T00:01:00.0000000Z;2021-06-26T23:59:00.0000000Z;7.081202071116503E-06;7.5319652914548E-06;6.924036998958205E-06;7.468906060156274E-06
2021-06-27T00:00:00.0000000Z;2021-06-28T00:00:00.0000000Z;2021-06-27T00:01:00.0000000Z;2021-06-27T23:59:00.0000000Z;7.480815213859033E-06;7.869823860439144E-06;7.272083163646473E-06;7.861640408823261E-06
2021-06-28T00:00:00.0000000Z;2021-06-29T00:00:00.0000000Z;2021-06-28T00:01:00.0000000Z;2021-06-28T23:59:00.0000000Z;7.805891975119453E-06;8.20174524327714E-06;7.583053234048151E-06;8.05860117290399E-06
2021-06-29T00:00:00.0000000Z;2021-06-30T00:00:00.0000000Z;2021-06-29T00:01:00.0000000Z;2021-06-29T23:59:00.0000000Z;8.088940715550326E-06;9.593979389797699E-06;8.034037324009095E-06;8.839978390648947E-06
2021-06-30T00:00:00.0000000Z;2021-07-01T00:00:00.0000000Z;2021-06-30T00:01:00.0000000Z;2021-06-30T23:59:00.0000000Z;8.881134376230189E-06;9.217542702509104E-06;8.011900400786865E-06;8.840517740021028E-06
2021-07-01T00:00:00.0000000Z;2021-07-02T00:00:00.0000000Z;2021-07-01T00:01:00.0000000Z;2021-07-01T23:59:00.0000000Z;8.76797720457254E-06;8.76797720457254E-06;8.15999683474854E-06;8.34319007080693E-06
2021-07-02T00:00:00.0000000Z;2021-07-03T00:00:00.0000000Z;2021-07-02T00:01:00.0000000Z;2021-07-02T23:59:00.0000000Z;8.338269367712645E-06;8.436676892568264E-06;8.051055100175929E-06;8.370114001223823E-06
2021-07-03T00:00:00.0000000Z;2021-07-04T00:00:00.0000000Z;2021-07-03T00:01:00.0000000Z;2021-07-03T23:59:00.0000000Z;8.357813975054739E-06;8.787481554345303E-06;8.299833331125506E-06;8.645717246944979E-06
2021-07-04T00:00:00.0000000Z;2021-07-05T00:00:00.0000000Z;2021-07-04T00:01:00.0000000Z;2021-07-04T23:59:00.0000000Z;8.65323992832214E-06;8.933062100554131E-06;8.454355043182392E-06;8.72137723768427E-06
2021-07-05T00:00:00.0000000Z;2021-07-06T00:00:00.0000000Z;2021-07-05T00:01:00.0000000Z;2021-07-05T23:59:00.0000000Z;8.696947414249737E-06;8.696947414249737E-06;8.167056842369675E-06;8.32536255670954E-06
2021-07-06T00:00:00.0000000Z;2021-07-07T00:00:00.0000000Z;2021-07-06T00:01:00.0000000Z;2021-07-06T23:59:00.0000000Z;8.315800970623226E-06;9.233972296760666E-06;8.315800970623226E-06;8.739974613680869E-06
2021-07-07T00:00:00.0000000Z;2021-07-08T00:00:00.0000000Z;2021-07-07T00:01:00.0000000Z;2021-07-07T23:59:00.0000000Z;8.71422573869602E-06;8.952805915053371E-06;8.528518241887294E-06;8.55993735145696E-06
2021-07-08T00:00:00.0000000Z;2021-07-09T00:00:00.0000000Z;2021-07-08T00:01:00.0000000Z;2021-07-08T23:59:00.0000000Z;8.532711285733917E-06;8.564057763938621E-06;7.811364857333589E-06;8.020738814284195E-06
2021-07-09T00:00:00.0000000Z;2021-07-10T00:00:00.0000000Z;2021-07-09T00:01:00.0000000Z;2021-07-09T23:59:00.0000000Z;8.008845352154055E-06;8.10096707570696E-06;7.701472736308181E-06;7.914312404717336E-06
2021-07-10T00:00:00.0000000Z;2021-07-11T00:00:00.0000000Z;2021-07-10T00:01:00.0000000Z;2021-07-10T23:59:00.0000000Z;7.891743568512448E-06;8.08916411884686E-06;7.537379206599987E-06;7.680784837678574E-06
